PGC,Name,RA,Dec,DCom,T,B.T,armC,armS,armR,barL,iRing,oRing,pRing,Pert,vDust,pDust,floc,spot,inc
50909,UGC09118,213.7838,3.1121,104.2,2,0.50,NA,NA,NA,NA,NA,NA,NA,0.00,1.00,0.25,0.00,0.00,1.00
50918,UGC09120,213.8008,4.8244,83.0,5,0.25,0.75,0.50,1.00,0.25,0.00,0.00,0.00,0.50,0.75,0.75,0.75,0.50,0.25
50942,NGC5529,213.8921,36.2264,44.2,3,0.50,NA,NA,NA,0.25,NA,NA,NA,0.00,1.00,0.25,0.50,0.00,1.00
50946,NGC5525,213.9142,14.2824,80.8,0,0.75,NA,NA,NA,NA,NA,NA,NA,0.00,1.00,0.00,0.00,0.00,1.00
50954,UGC09129,213.9405,40.1051,89.8,9,0.25,NA,NA,NA,0.25,NA,NA,NA,0.00,0.25,NA,0.50,0.00,1.00
50972,UGC09132,214.0306,33.7275,123.9,6,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.25,NA,0.50,0.00,1.00
50973,NGC5533,214.0322,35.3436,58.1,2,0.50,0.00,1.00,NA,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.25,0.00,0.25
50986,NGC5536,214.0987,39.5028,86.4,1,0.75,0.00,0.50,1.00,1.00,0.75,0.00,0.00,0.25,0.25,NA,0.00,0.00,0.00
50990,IC0995,214.1305,57.8102,48.5,8,0.25,0.00,0.25,NA,0.25,NA,NA,NA,0.50,0.50,0.50,0.50,0.00,0.75
50994,UGC09134,214.1471,9.9851,159.8,6,0.50,0.50,0.50,1.00,0.00,0.25,0.00,0.00,0.25,0.25,NA,0.50,0.25,0.25
51006,NGC5532,214.2212,10.8070,106.9,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
51008,UGC09146,214.2351,55.8644,30.6,10,0.00,0.00,NA,NA,0.25,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
51012,UGC09144,214.2853,42.6827,114.2,6,0.50,0.00,0.50,0.00,0.00,0.25,0.00,0.00,0.00,0.00,NA,0.50,0.25,0.00
51018,NGC5544,214.2610,36.5711,47.0,0,0.50,0.25,1.00,NA,0.50,0.50,0.50,0.00,0.00,0.00,NA,0.00,0.00,0.00
51023,NGC5545,214.2719,36.5747,47.0,4,0.50,0.50,0.75,0.00,0.00,0.00,0.00,0.00,0.75,0.75,0.50,0.75,0.00,0.75
51026,NGC5561,214.3199,58.7093,47.6,7,0.00,0.75,0.25,NA,0.25,0.00,0.00,0.00,0.25,0.25,NA,0.75,0.25,0.50
51036,IC0996,214.3434,57.6299,47.6,7,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.50,0.50,0.50,0.00,1.00
51044,UGC09140,214.3384,1.1308,228.9,5,0.50,0.50,NA,NA,NA,NA,NA,NA,0.25,0.75,0.25,0.25,0.00,0.75
51074,NGC5548,214.4985,25.1371,75.5,0,0.75,0.25,NA,NA,0.00,0.75,0.25,0.00,0.50,0.50,0.50,0.25,0.00,0.00
51084,NGC5546,214.5388,7.5642,105.9,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
51090,IC0992,214.5626,0.8907,111.6,6,0.25,0.75,0.50,1.00,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.75,0.25,0.25
51094,UGC09155,214.5776,28.9683,181.9,4,0.50,0.50,0.50,1.00,0.25,0.50,0.00,0.00,0.25,0.25,NA,0.50,0.00,0.00
51095,IC0994,214.5949,11.1948,106.3,-2,0.75,0.00,NA,NA,0.25,0.50,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
51100,IC4399,214.6000,26.3858,156.8,4,0.50,0.25,0.75,0.00,0.50,0.00,0.00,0.00,0.00,0.25,NA,0.75,0.00,0.25
51104,NGC5557,214.6075,36.4933,48.9,-1,1.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
51105,NGC5553,214.6245,26.2876,66.6,-2,0.50,0.00,NA,NA,0.00,0.50,NA,NA,0.00,0.00,NA,0.00,0.00,1.00
51113,UGC09159,214.6485,14.2783,111.4,6,0.25,0.50,0.50,0.75,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.75,0.25,0.75
51128,UGC09163,214.7111,11.2887,106.5,6,0.25,0.75,0.50,1.00,0.25,0.00,0.00,0.00,0.00,0.50,0.25,0.50,0.00,0.75
51130,UGC09162,214.7025,10.8436,238.3,4,0.50,0.50,0.25,1.00,0.50,0.25,0.00,0.00,0.00,0.25,NA,0.25,0.00,0.25
51155,NGC5559,214.8027,24.7987,76.2,3,0.50,0.50,0.75,0.00,0.25,0.00,0.00,0.00,0.00,0.50,0.75,0.50,0.00,0.75
51196,NGC5572,214.8976,36.1405,108.6,5,0.25,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.25,0.75,0.75,0.25,0.25,0.00
51207,UGC09169,214.9368,9.3624,19.9,7,0.00,NA,NA,NA,0.25,NA,NA,NA,0.00,0.25,NA,0.50,0.00,1.00
51210,NGC5585,214.9513,56.7292,8.1,9,0.25,0.00,NA,NA,0.00,0.00,0.00,0.00,0.25,0.50,0.50,0.75,0.50,0.25
51223,NGC5560,215.0191,3.9923,25.9,5,0.50,0.50,0.00,1.00,0.25,0.00,0.00,0.00,0.50,0.75,0.75,0.50,0.00,0.75
51233,NGC5566,215.0835,3.9333,23.1,1,0.50,0.25,0.25,1.00,0.50,0.50,0.00,0.00,0.00,0.75,0.50,0.25,0.00,0.50
51236,NGC5579,215.1108,35.1885,54.5,7,0.25,0.25,0.50,0.00,0.25,0.25,0.00,0.00,0.75,0.50,0.50,0.75,0.50,0.25
51237,UGC09177,215.1275,10.4318,127.5,6,0.50,0.75,0.75,1.00,0.25,0.25,0.00,0.00,0.25,0.50,0.25,0.50,0.00,0.00
51241,NGC5569,215.1343,3.9829,26.5,9,0.25,0.25,0.25,NA,0.25,0.00,0.00,0.00,0.50,0.00,NA,0.50,0.25,0.00
51251,NGC5582,215.1801,39.6939,22.7,-2,1.00,0.00,NA,NA,0.00,0.00,0.25,0.00,0.00,0.00,NA,0.00,0.00,0.25
51256,UGC09192,215.1861,51.1384,55.7,9,0.00,0.00,NA,NA,NA,0.00,0.00,0.00,0.00,0.25,NA,0.25,0.00,0.75
51264,UGC09186,215.2253,23.6027,67.0,6,0.50,0.50,NA,0.75,0.25,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.75
51270,NGC5574,215.2333,3.2378,24.8,-1,0.75,0.00,NA,NA,0.25,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
51272,NGC5575,215.2481,6.2024,110.1,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
51275,NGC5576,215.2650,3.2707,22.7,-5,1.00,0.00,NA,NA,0.00,0.00,NA,NA,0.25,0.00,NA,0.00,0.00,0.25
51281,UGC09193,215.3082,36.7434,13.3,10,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.50,0.25,0.00
51286,NGC5577,215.3052,3.4356,22.5,5,0.25,0.50,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.75,0.50,0.75,0.00,0.75
51300,NGC5589,215.3549,35.2704,51.5,1,0.50,0.25,0.75,0.00,0.25,0.00,0.00,0.00,0.00,0.50,0.50,0.25,0.00,0.00
51302,UGC09195,215.3805,23.9484,214.5,3,0.50,0.25,0.75,NA,0.25,0.00,0.00,0.00,0.00,0.50,0.50,0.25,0.00,0.50
51303,NGC5665A,215.3748,5.0731,116.7,3,0.50,0.25,0.50,0.00,0.25,0.75,0.00,0.00,0.25,0.50,0.25,0.25,0.00,0.50
51312,NGC5590,215.4104,35.2047,48.7,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
51319,UGC09203,215.4696,39.9788,77.7,4,0.50,0.50,0.25,0.00,0.75,0.50,0.00,0.00,0.25,0.25,NA,0.50,0.00,0.25
51332,NGC5587,215.5451,13.9177,34.6,1,0.75,0.25,1.00,NA,0.25,0.25,0.00,0.00,0.00,0.50,0.25,0.25,0.00,0.75
51340,NGC5602,215.5791,50.5009,35.3,-2,0.75,0.00,NA,0.50,0.00,0.50,1.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
51344,NGC5584,215.5986,-0.3872,24.4,6,0.25,0.75,0.50,0.00,0.25,0.00,0.00,0.00,0.00,0.75,0.75,1.00,0.50,0.25
51354,NGC5598,215.6185,40.3195,80.8,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
51355,NGC5596,215.6202,37.1219,47.6,-2,0.75,0.00,NA,0.50,0.00,0.25,0.00,0.00,0.00,0.25,NA,0.00,0.00,0.25
51358,UGC09211,215.6360,45.3828,13.3,10,0.00,0.00,0.00,NA,0.00,0.00,0.00,0.00,0.25,0.00,NA,0.50,0.25,0.25
51368,UGC09213,215.6947,37.9948,119.9,5,0.75,0.50,0.50,1.00,0.00,0.75,0.00,0.00,0.25,0.50,0.50,0.25,0.00,0.50
51371,UGC09214,215.7310,32.8505,148.4,3,0.75,0.25,0.25,0.00,0.50,0.50,0.00,0.00,0.25,0.50,0.50,0.50,0.25,0.25
51372,UGC09216,215.7360,40.4170,82.1,6,0.25,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.50,0.00,0.00
51382,NGC5603,215.7565,40.3775,83.0,-5,1.00,0.00,NA,0.50,0.00,0.00,NA,NA,0.25,0.00,NA,0.00,0.00,0.00
51396,NGC5608,215.8240,41.7754,12.8,9,0.00,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.50,0.25,NA,0.75,0.25,0.50
51400,UGC09215,215.8637,1.7258,21.0,6,0.25,0.50,0.25,1.00,0.50,0.00,0.00,0.00,0.75,0.50,0.50,0.75,0.50,0.50
51417,UGC09223,215.9377,40.0240,77.9,-5,0.75,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
51423,NGC5599,215.9612,6.5761,104.0,4,0.25,0.25,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.75,0.25,0.00,0.50
51426,UGC09224,215.9773,34.7234,123.7,6,0.25,NA,NA,NA,0.00,NA,NA,NA,0.00,0.75,0.00,0.25,0.00,1.00
51431,NGC5611,216.0204,33.0470,31.6,-2,0.75,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.75
51433,NGC5613,216.0252,34.8917,123.7,0,0.75,0.00,NA,NA,0.25,1.00,0.25,0.00,0.00,0.00,NA,0.00,0.00,0.25
51439,NGC5614,216.0322,34.8589,58.5,2,0.75,0.25,1.00,NA,0.00,0.50,0.00,0.00,0.50,0.75,0.50,0.25,0.00,0.00
51448,NGC5616,216.0866,36.4611,122.8,3,0.50,0.25,NA,NA,NA,NA,NA,NA,0.25,1.00,0.75,0.50,0.00,0.75
51449,UGC09225,216.1017,8.2756,19.3,9,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.50,0.25,0.50
51450,NGC5610,216.0954,24.6144,74.7,3,0.25,0.25,0.25,0.00,1.00,0.25,0.00,0.00,0.00,0.75,0.50,0.25,0.00,0.50
51455,UGC09232,216.1142,32.9517,32.3,9,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.25,0.00,0.25
51462,UGC09229,216.1385,1.1770,165.9,2,0.50,0.25,0.75,0.00,0.50,0.25,0.00,0.00,0.50,0.50,0.50,0.50,0.25,0.00
51470,UGC09235,216.1761,35.2670,45.5,2,0.50,0.25,0.75,1.00,1.00,0.25,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
51471,NGC5604,216.1775,-3.2122,40.0,3,0.25,0.50,0.50,0.00,0.25,0.00,0.00,0.00,0.00,0.75,0.75,1.00,0.25,0.50
51472,UGC09240,216.1804,44.5278,5.6,10,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.25,0.00,NA,0.50,0.75,0.25
51477,UGC09238,216.2080,35.2842,50.8,7,0.25,0.50,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.50,0.00,0.75
51483,UGC09236,216.2360,25.0248,65.7,5,0.25,0.50,0.75,0.25,0.00,0.25,NA,NA,0.00,0.25,NA,0.50,0.00,0.75
51498,UGC09239,216.3054,13.7444,81.1,3,0.50,NA,NA,NA,0.50,NA,NA,NA,0.00,1.00,0.50,0.50,0.00,1.00
51503,UGC09242,216.3359,39.5387,24.2,7,0.00,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,0.25,0.25,1.00
51509,UGC09245,216.3621,56.3204,30.8,7,0.00,0.25,0.25,0.25,0.75,0.00,0.00,0.00,0.25,0.00,NA,0.50,0.25,0.25
51511,UGC09243,216.3890,33.8480,50.2,8,0.25,0.00,0.25,NA,0.00,0.00,0.00,0.00,0.00,0.25,NA,0.50,0.00,0.50
51537,UGC09244,216.5355,5.2378,120.3,2,0.50,0.50,0.50,0.00,0.50,0.25,0.00,0.00,0.50,0.50,0.50,0.25,0.00,0.50
51541,NGC5622,216.5512,48.5637,58.7,5,0.25,0.75,1.00,1.00,0.00,0.25,0.00,0.00,0.00,0.25,NA,0.25,0.25,0.50
51561,UGC09251,216.6318,44.8622,37.4,8,0.00,0.00,NA,NA,0.25,0.00,0.00,0.00,0.00,0.25,NA,0.50,0.25,0.75
51564,NGC5631,216.6386,56.5829,31.6,-1,1.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.75,0.25,0.00,0.00,0.00
51589,UGC09253,216.7444,31.5165,58.7,4,0.25,0.50,0.50,0.75,0.25,NA,NA,NA,0.00,0.75,0.75,0.50,0.00,0.75
51598,NGC5623,216.7867,33.2521,51.1,-3,0.75,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.75
51599,UGC09269,216.8063,50.5627,60.0,7,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.25,NA,0.50,0.00,1.00
51603,NGC5618,216.7993,-2.2629,102.1,4,0.50,0.50,0.50,1.00,0.50,0.25,0.00,0.00,0.25,0.75,0.25,0.50,0.00,0.25
51604,UGC09252,216.7942,5.1336,23.7,10,0.00,NA,NA,NA,0.00,NA,NA,NA,0.00,0.00,NA,0.25,0.00,1.00
51610,NGC5619,216.8258,4.8025,120.3,3,0.50,0.25,0.75,0.00,0.75,0.25,0.25,0.00,0.25,0.75,0.75,0.25,0.00,0.50
51612,IC1010,216.8353,1.0255,110.3,2,0.50,0.50,0.75,0.00,1.00,0.50,0.00,0.00,0.50,0.25,NA,0.50,0.00,0.00
51620,NGC5633,216.8688,46.1471,36.8,3,0.25,0.50,0.75,1.00,0.00,0.25,0.00,0.00,0.00,0.75,0.75,1.00,0.25,0.50
51621,UGC09266,216.8709,29.9516,64.9,9,0.00,0.25,0.25,NA,0.50,0.25,0.00,0.00,0.50,0.25,NA,0.50,0.50,0.25
51622,UGC09258,216.8739,4.7796,118.4,4,0.75,0.50,0.50,0.75,0.75,0.50,0.00,0.00,0.00,0.25,NA,0.50,0.00,0.00
51631,UGC09268,216.9152,32.1397,52.1,9,0.00,0.00,NA,NA,0.50,0.00,0.00,0.00,0.00,0.00,NA,0.50,0.00,0.50
51635,NGC5630,216.9029,41.2575,41.2,6,0.00,0.50,0.25,NA,0.75,NA,NA,NA,0.00,0.50,0.75,0.75,0.50,0.75
51638,UGC09264,216.9172,6.0413,105.3,7,0.00,0.25,NA,NA,0.25,0.00,NA,NA,0.25,0.25,NA,0.50,0.00,0.75
51645,UGC09263,216.9397,-0.6034,101.9,7,0.25,0.75,0.50,1.00,0.00,0.25,0.00,0.00,0.25,0.00,NA,0.75,0.00,0.00
51650,UGC09267,216.9572,11.5604,107.4,4,0.25,0.75,0.50,1.00,0.50,0.75,0.00,0.00,0.25,0.50,0.50,0.50,0.00,0.00
51664,UGC09273,217.0457,13.5514,20.3,9,0.00,0.00,0.00,NA,0.00,0.00,0.00,0.00,0.25,0.25,NA,0.75,0.50,0.50
51665,UGC09279,217.0250,33.8181,61.3,9,0.00,0.25,0.00,NA,0.00,0.00,0.00,0.00,0.25,0.00,NA,0.75,0.25,0.50
51668,IC1017,217.0304,25.8689,64.7,-2,0.75,0.00,1.00,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
51681,NGC5629,217.0684,25.8487,66.8,-3,1.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
51685,IC1014,217.0774,13.7802,20.3,7,0.25,0.00,0.25,1.00,0.50,0.25,0.00,0.00,0.50,0.50,0.50,0.75,0.25,0.25
51695,UGC09284,217.0976,33.2536,62.1,-1,0.50,0.00,NA,NA,0.50,NA,NA,NA,0.00,0.50,0.25,0.25,0.00,1.00
51703,UGC09277,217.1391,3.2618,119.4,-1,0.50,0.00,NA,NA,0.50,NA,NA,NA,0.00,0.50,0.25,0.25,0.00,1.00
51705,NGC5627,217.1432,11.3781,115.6,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
51713,UGC09291,217.1544,38.9990,44.4,6,0.25,0.50,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.75,0.25,0.50
51725,IC4442,217.1891,28.9642,62.8,0,0.75,0.00,NA,NA,0.75,0.75,0.25,0.00,0.00,0.25,NA,0.25,0.00,0.50
51728,IC1020,217.2064,26.0325,63.8,-2,0.75,0.00,NA,NA,0.50,NA,NA,NA,0.00,0.00,NA,0.00,0.00,1.00
51730,NGC5639,217.1942,30.4125,53.6,6,0.25,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.25,0.75,0.50,1.00,0.25,0.25
51733,UGC09294,217.2375,25.5535,61.5,4,0.25,0.75,0.75,1.00,0.25,0.00,0.00,0.00,0.00,0.50,0.25,0.25,0.25,0.50
51735,UGC09288,217.2431,13.8617,77.0,-2,1.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.50,0.00,NA,0.00,0.00,0.00
51741,UGC09285,217.2666,3.1489,27.8,8,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.50,0.75,0.50,0.00,1.00
51747,UGC09302,217.2917,31.8000,53.6,8,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.25,NA,0.50,0.00,1.00
51751,NGC5642,217.3065,30.0260,64.3,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
51754,IC4447,217.3250,30.8322,63.8,0,0.75,0.00,NA,NA,0.00,1.00,0.75,0.00,0.00,0.00,NA,0.25,0.00,0.25
51758,NGC5641,217.3195,28.8217,64.7,1,0.50,0.25,1.00,1.00,0.75,0.25,0.00,0.00,0.25,0.75,0.25,0.25,0.00,0.50
51779,NGC5646,217.3921,35.4615,124.9,4,0.25,0.50,0.50,0.00,0.25,NA,0.00,0.00,0.00,0.75,0.50,0.50,0.00,0.75
51780,UGC09299,217.3950,-0.0186,22.9,9,0.25,0.25,0.25,NA,0.50,0.00,0.00,0.00,0.25,0.50,0.50,1.00,0.50,0.50
51782,UGC09305,217.4190,4.0627,35.1,8,0.00,0.00,0.00,NA,0.25,0.00,0.00,0.00,0.00,0.00,NA,0.25,0.00,0.75
51784,UGC09309,217.4109,10.5838,146.1,4,0.50,0.50,0.50,1.00,0.00,0.00,0.00,0.00,0.00,0.75,0.50,0.50,0.00,0.50
51785,NGC5636,217.4127,3.2661,24.8,1,0.25,0.50,0.75,0.75,0.50,1.00,0.00,0.00,0.00,0.50,0.25,0.25,0.00,0.25
51787,NGC5638,217.4179,3.2333,24.6,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
51795,NGC5660,217.4571,49.6224,36.8,6,0.25,0.50,0.50,1.00,0.00,0.00,0.00,0.00,0.25,0.75,0.75,0.75,0.50,0.00
51798,UGC09324,217.4623,44.4479,0.2,8,0.00,0.25,0.00,NA,0.50,0.00,0.00,0.00,1.00,0.25,NA,0.50,0.50,0.25
51803,UGC09320,217.4938,36.8726,14.3,9,0.00,0.00,0.25,NA,0.25,0.00,0.00,0.00,0.25,0.00,NA,0.25,0.50,0.00
51809,UGC09310,217.5047,3.2204,27.6,8,0.00,NA,0.00,NA,NA,NA,NA,NA,0.00,0.25,NA,0.25,0.00,1.00
51814,NGC5653,217.5441,31.2151,53.6,3,0.50,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.75,1.00,0.75,1.00,0.75,0.25
51819,UGC09317,217.5467,27.5315,65.7,7,0.00,0.25,0.50,0.00,0.50,0.25,0.00,0.00,0.50,0.50,0.50,0.50,0.50,0.00
51829,UGC09322,217.5846,23.0617,74.9,4,0.50,0.50,0.50,0.25,0.50,0.00,0.00,0.00,0.25,0.50,0.50,0.50,0.25,0.25
51830,NGC5667,217.5948,59.4700,31.6,9,0.25,0.25,0.25,NA,0.25,0.00,0.00,0.00,0.50,0.50,0.75,0.75,0.75,0.50
51831,NGC5656,217.6060,35.3207,48.3,3,0.50,0.50,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.75,1.00,0.25,0.25
51834,NGC5644,217.6070,11.9277,110.8,-5,1.00,0.00,NA,0.50,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.25
51838,UGC09336,217.6267,40.0179,113.1,1,0.50,0.25,NA,NA,0.25,0.25,NA,NA,0.00,0.75,0.25,0.00,0.00,0.75
51843,NGC5647,217.6508,11.8762,105.9,-2,0.75,0.00,NA,NA,0.25,0.50,NA,NA,0.00,0.00,NA,0.00,0.00,1.00
51846,NGC5645,217.6653,7.2748,21.0,6,0.00,0.50,0.25,NA,0.50,0.00,0.00,0.00,0.25,0.50,0.50,0.75,0.50,0.25
51850,NGC5657,217.6833,29.1783,58.5,3,0.50,0.25,0.50,0.00,1.00,0.50,0.00,0.00,0.00,0.50,0.50,0.25,0.00,0.50
51857,UGC09333,217.7128,13.9685,76.0,6,0.25,0.50,0.50,1.00,0.50,0.00,0.00,0.00,0.25,0.75,0.50,0.75,0.50,0.00
51864,UGC09340,217.7530,25.4899,67.2,9,0.00,0.00,0.25,NA,0.75,0.00,0.00,0.00,0.50,0.50,0.50,0.75,0.25,0.00
51865,NGC5650,217.7550,5.9782,107.8,5,0.25,0.50,0.75,1.00,0.25,0.00,0.00,0.00,0.50,0.75,0.50,0.75,0.25,0.25
51875,NGC5659,217.7761,25.3549,66.6,3,0.25,0.50,0.75,NA,0.50,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.75
51878,UGC09338,217.7994,5.3073,118.4,5,0.25,0.50,0.75,NA,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.50,0.00,0.50
51895,IC1024,217.8631,3.0083,22.0,3,0.25,0.00,NA,NA,NA,0.00,NA,NA,0.50,0.75,0.50,0.25,0.00,0.50
51901,NGC5673,217.8786,49.9581,33.4,5,0.25,0.50,NA,0.75,0.25,0.00,0.00,0.00,0.00,0.75,0.75,0.75,0.00,0.75
51909,UGC09345,217.9343,6.1581,34.4,7,0.00,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,0.25,0.25,1.00
51921,NGC5661,217.9887,6.2503,35.1,5,0.25,0.75,0.25,0.00,0.50,0.00,0.00,0.00,0.50,0.75,0.50,0.25,0.25,0.50
51932,NGC5678,218.0246,57.9212,31.2,3,0.50,0.50,0.75,1.00,0.00,0.50,0.00,0.00,0.50,1.00,1.00,0.75,0.25,0.50
51953,NGC5665,218.1083,8.0800,33.4,5,0.25,0.50,0.75,NA,0.00,0.50,0.25,0.00,0.50,0.75,0.50,0.75,0.75,0.25
51955,IC1029,218.1132,49.9037,37.6,2,0.75,0.25,NA,NA,0.25,0.00,NA,NA,0.00,0.75,0.50,0.50,0.00,0.75
51957,NGC5658,218.1187,0.2939,24.8,8,0.25,NA,NA,NA,NA,NA,NA,NA,0.00,0.75,0.50,0.50,0.00,1.00
51958,UGC09351,218.1358,5.6711,100.8,7,0.00,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,0.25,0.00,1.00
51964,NGC5672,218.1607,31.6700,53.4,9,0.25,0.00,NA,NA,0.00,0.00,NA,NA,0.25,0.75,0.50,0.75,0.25,0.50
51973,NGC5669,218.1825,9.8911,21.2,6,0.25,0.75,0.50,1.00,0.25,0.00,0.00,0.00,0.50,0.50,0.50,0.75,0.50,0.25
51978,NGC5676,218.1966,49.4579,33.6,3,0.50,0.50,0.75,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.25,0.50
52006,UGC09359,218.3160,-1.1406,59.8,7,0.00,NA,NA,NA,NA,NA,NA,NA,0.00,0.25,NA,0.50,0.00,1.00
52010,UGC09367,218.3275,34.7342,149.0,0,0.75,0.00,NA,NA,0.50,0.00,0.00,0.00,0.75,0.50,0.50,0.25,0.00,0.25
52011,UGC09362,218.3234,3.9025,127.1,5,0.25,0.50,0.50,1.00,0.50,0.00,0.00,0.00,0.00,0.50,0.50,0.75,0.25,0.00
52016,UGC09364,218.3404,6.8772,32.1,9,0.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.75,0.25,0.50
52018,NGC5668,218.3512,4.4506,24.0,7,0.25,0.25,0.50,0.00,0.00,0.00,0.00,0.00,0.25,0.75,0.50,1.00,0.50,0.00
52023,UGC09365,218.3783,3.6860,120.9,6,0.25,0.50,0.25,1.00,0.50,0.25,0.00,0.00,0.25,0.25,NA,0.75,0.25,0.25
52027,UGC09372,218.4055,35.9661,150.1,4,0.50,0.50,0.50,1.00,0.00,0.25,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.25
52042,NGC5674,218.4682,5.4581,107.6,3,0.50,0.25,0.50,0.75,0.50,0.25,0.00,0.00,0.50,0.75,0.50,0.75,0.50,0.00
52044,UGC09375,218.4710,28.4019,136.6,3,0.50,NA,NA,NA,0.25,NA,NA,NA,0.00,1.00,0.25,0.25,0.00,1.00
52051,UGC09379,218.4946,40.2444,110.8,6,0.50,0.75,0.50,0.00,0.25,0.25,0.00,0.00,0.00,0.25,NA,0.75,0.25,0.50
52088,UGC09381,218.6445,36.2881,46.4,8,0.25,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.50,0.00,0.00
52091,UGC09391,218.6538,59.3378,31.4,9,0.00,0.00,0.25,NA,0.50,0.00,0.00,0.00,0.50,0.25,NA,0.50,0.25,0.00
52092,UGC09380,218.6617,4.2603,25.5,10,0.00,0.50,0.00,NA,0.25,0.00,0.00,0.00,1.00,0.25,NA,0.50,0.25,0.25
52107,NGC5682,218.6879,48.6699,36.1,7,0.00,0.75,0.25,0.75,0.75,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.75
52114,NGC5683,218.7185,48.6619,157.7,0,0.75,0.00,NA,NA,0.75,0.50,0.50,0.00,0.00,0.00,NA,0.25,0.00,0.25
52115,UGC09386,218.7202,40.7479,84.5,2,0.75,0.25,0.50,0.00,0.25,0.25,0.00,0.00,0.00,0.50,0.50,0.50,0.00,0.50
52116,NGC5687,218.7183,54.4756,34.0,-5,1.00,0.00,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.50
52131,UGC09382,218.7728,3.5515,125.2,1,0.50,NA,NA,NA,NA,NA,NA,NA,0.00,0.75,0.25,0.25,0.00,1.00
